name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Golden Tate,NYG,WR,111,115.1,48,48.3,8,6,8,15,2,40.,103.2,9.4,11,321.48,85,49,676,6,1,16,0
Larry Fitzgerald,ARI,WR,168,172.4,65,65.2,10,7,11,7,27,41.,102.4,6.4,16,465.83,109,75,804,4,0,0,0
Breshad Perriman,NYJ,WR,153,154.1,60,60.2,9,7,25,26,20,42.,102.1,7.3,14,427.07,69,36,645,6,2,16,0
Tyrell Williams,LV,WR,500,500,500,500,0,0,31,27,26,43.,101.1,7.8,13,10000.0,64,42,651,6,0,0,0
Marquise Brown,BAL,WR,67,69.6,31,31.4,6,5,30,25,23,44.,100.4,7.2,14,206.62,71,46,584,7,0,0,0
Diontae Johnson,PIT,WR,86,88.5,38,39.1,7,5,26,30,7,45.,100.1,6.3,16,256.6,92,59,680,5,4,41,0
Randall Cobb,HOU,WR,178,187.7,67,69.2,10,7,21,28,6,46.,99.9,6.7,15,497.94,83,55,828,3,3,11,0
Christian Kirk,ARI,WR,87,91.2,39,39.7,7,5,11,7,27,47.,98.2,7.6,13,258.07,108,68,709,3,10,93,0
Zach Pascal,IND,WR,286,273.1,97,97.0,12,8,12,23,1,48.,92.3,6.6,14,737.29,72,41,607,5,2,16,0
James Washington,PIT,WR,179,188.8,69,69.6,10,7,26,30,7,49.,89.5,6.0,15,503.4,80,44,735,3,0,0,0
Mecole Hardman,KC,WR,133,142.0,53,55.9,9,6,29,16,30,50.,87.5,5.8,15,385.84,41,26,538,6,4,17,0
Dede Westbrook,JAC,WR,192,189.0,72,70.2,10,7,10,9,22,51.,86.7,5.8,15,515.57,101,66,660,3,5,27,0
Will Fuller,HOU,WR,77,79.8,35,35.5,7,5,21,28,6,52.,85.0,7.7,11,232.32,71,49,670,3,0,0,0
Hunter Renfrow,LV,WR,172,181.6,66,68.2,10,7,31,27,26,53.,84.5,6.5,13,486.92,71,49,605,4,0,0,0
Sammy Watkins,KC,WR,154,156.9,63,60.7,9,7,29,16,30,54.,84.5,6.5,13,434.96,90,52,673,3,2,12,0
Adam Thielen,MIN,WR,29,30.7,12,12.7,4,3,23,18,24,55.,84.4,8.4,10,92.29,48,30,418,6,4,6,1
Sterling Shepard,NYG,WR,92,97.8,40,42.2,7,6,8,15,2,56.,82.8,8.3,10,272.65,83,57,576,3,6,72,0
TY Hilton,IND,WR,56,58.0,26,26.7,6,4,12,23,1,57.,80.1,8.0,10,170.71,68,45,501,5,0,0,0
Kenny Stills,HOU,WR,218,222.4,79,81.2,11,8,21,28,6,58.,80.1,6.2,13,593.61,55,40,561,4,0,0,0
